scenario,controller,ablation,metric,environment_units,excluded_environment_units,exclusions,mean_change,paired_ci95_low,paired_ci95_high,status
A_expansion,connectome,output_disconnect,food,30,0,[],0.0,0.0,0.0,completed
A_expansion,connectome,output_disconnect,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_expansion,connectome,output_disconnect,motor_energy_demand,30,0,[],-0.023363284459244314,-0.0240283173869338,-0.02265740184188375,completed
A_expansion,connectome,output_disconnect,escape_drive_integral,30,0,[],-1.5537675782520646,-1.5976657447843798,-1.5086183433141147,completed
A_expansion,connectome,readout_clamp,food,30,0,[],0.0,0.0,0.0,completed
A_expansion,connectome,readout_clamp,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_expansion,connectome,readout_clamp,motor_energy_demand,30,0,[],-0.02424322286490783,-0.024915637693220423,-0.023532032331715372,completed
A_expansion,connectome,readout_clamp,escape_drive_integral,30,0,[],-1.5537675782520646,-1.5981467476103375,-1.5099925144420874,completed
A_expansion,connectome,vision_off,food,30,0,[],0.0,0.0,0.0,completed
A_expansion,connectome,vision_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_expansion,connectome,vision_off,motor_energy_demand,30,0,[],-0.023363284459244314,-0.024042418333711766,-0.02269985185020096,completed
A_expansion,connectome,vision_off,escape_drive_integral,30,0,[],-1.5537675782520646,-1.5941892301452243,-1.5099650785710628,completed
A_expansion,hybrid-101,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_expansion,hybrid-101,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_expansion,hybrid-101,reflex_off,motor_energy_demand,30,0,[],-0.0036874262657066196,-0.004140620063534378,-0.0032439173811766014,completed
A_expansion,hybrid-101,reflex_off,escape_drive_integral,30,0,[],-0.24637726258238157,-0.275498045434306,-0.21791114017119015,completed
A_expansion,hybrid-202,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_expansion,hybrid-202,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_expansion,hybrid-202,reflex_off,motor_energy_demand,30,0,[],-0.0024765030972162877,-0.0027960145868152373,-0.002172597319265952,completed
A_expansion,hybrid-202,reflex_off,escape_drive_integral,30,0,[],-0.16562978367010753,-0.1873192600059013,-0.14488278938730564,completed
A_expansion,hybrid-303,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_expansion,hybrid-303,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_expansion,hybrid-303,reflex_off,motor_energy_demand,30,0,[],-0.00014899893363316818,-0.00019387517886459787,-0.00010609024883906225,completed
A_expansion,hybrid-303,reflex_off,escape_drive_integral,30,0,[],-0.009945097605387369,-0.012911406853795035,-0.007182074609398845,completed
A_static,connectome,output_disconnect,food,30,0,[],0.0,0.0,0.0,completed
A_static,connectome,output_disconnect,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_static,connectome,output_disconnect,motor_energy_demand,30,0,[],-0.01247628609801125,-0.014348744951286642,-0.01073494844639185,completed
A_static,connectome,output_disconnect,escape_drive_integral,30,0,[],-0.8305692860581709,-0.9554125776248271,-0.7156865480412867,completed
A_static,connectome,readout_clamp,food,30,0,[],0.0,0.0,0.0,completed
A_static,connectome,readout_clamp,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_static,connectome,readout_clamp,motor_energy_demand,30,0,[],-0.013356224503674765,-0.015170465734012756,-0.011576265016274082,completed
A_static,connectome,readout_clamp,escape_drive_integral,30,0,[],-0.8305692860581709,-0.9520725131175884,-0.7048085180492805,completed
A_static,connectome,vision_off,food,30,0,[],0.0,0.0,0.0,completed
A_static,connectome,vision_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_static,connectome,vision_off,motor_energy_demand,30,0,[],-0.01247628609801125,-0.0143186124999752,-0.01063626538516166,completed
A_static,connectome,vision_off,escape_drive_integral,30,0,[],-0.8305692860581709,-0.9587116473143281,-0.7121906856961641,completed
A_static,hybrid-101,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_static,hybrid-101,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_static,hybrid-101,reflex_off,motor_energy_demand,30,0,[],-0.0013812559235195309,-0.001644225737520307,-0.0011533363921600083,completed
A_static,hybrid-101,reflex_off,escape_drive_integral,30,0,[],-0.09242281422019007,-0.1089958069163064,-0.07543644587149223,completed
A_static,hybrid-202,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_static,hybrid-202,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_static,hybrid-202,reflex_off,motor_energy_demand,30,0,[],-0.001121962767163912,-0.001350896016137054,-0.000905199058599272,completed
A_static,hybrid-202,reflex_off,escape_drive_integral,30,0,[],-0.07516264235973356,-0.09081716130996743,-0.06049087691878279,completed
A_static,hybrid-303,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_static,hybrid-303,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_static,hybrid-303,reflex_off,motor_energy_demand,30,0,[],-6.510755821069192e-05,-9.770098912517279e-05,-3.45365281134847e-05,completed
