scenario,architecture,metric,training_seeds,environment_units,excluded_environment_units,exclusions,status,mean_difference_vs_connectome,hierarchical_paired_ci95_low,hierarchical_paired_ci95_high
A_expansion,feedforward,food,3,30,0,[],completed,0.0,0.0,0.0
A_expansion,feedforward,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_expansion,feedforward,motor_energy_demand,3,30,0,[],completed,-0.019467681275751002,-0.021834360473800246,-0.017677008625531194
A_expansion,recurrent,food,3,30,0,[],completed,0.0,0.0,0.0
A_expansion,recurrent,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_expansion,recurrent,motor_energy_demand,3,30,0,[],completed,-0.012390727690117408,-0.014449436855070462,-0.009796320411317462
A_expansion,hybrid,food,3,30,0,[],completed,0.0,0.0,0.0
A_expansion,hybrid,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_expansion,hybrid,motor_energy_demand,3,30,0,[],completed,0.0021983185303159724,-0.0037449965207528965,0.010019708047508184
A_static,feedforward,food,3,30,0,[],completed,0.0,0.0,0.0
A_static,feedforward,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_static,feedforward,motor_energy_demand,3,30,0,[],completed,-0.008396685467465172,-0.011255998695345132,-0.00583764551343883
A_static,recurrent,food,3,30,0,[],completed,0.0,0.0,0.0
A_static,recurrent,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_static,recurrent,motor_energy_demand,3,30,0,[],completed,-0.0013440256545066758,-0.0041075128963293205,0.0015462411630369998
A_static,hybrid,food,3,30,0,[],completed,0.0,0.0,0.0
A_static,hybrid,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_static,hybrid,motor_energy_demand,3,30,0,[],completed,0.012389787398879403,0.005500423993711074,0.01986540806454515
A_translation,feedforward,food,3,30,0,[],completed,0.0,0.0,0.0
A_translation,feedforward,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_translation,feedforward,motor_energy_demand,3,30,0,[],completed,-0.010693280460635302,-0.013545972967590648,-0.008146260991137017
A_translation,recurrent,food,3,30,0,[],completed,0.0,0.0,0.0
A_translation,recurrent,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_translation,recurrent,motor_energy_demand,3,30,0,[],completed,-0.0036410095406368133,-0.0064124855615368586,-0.0005439110313313166
A_translation,hybrid,food,3,30,0,[],completed,0.0,0.0,0.0
A_translation,hybrid,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_translation,hybrid,motor_energy_demand,3,30,0,[],completed,0.010023665299459158,0.00366733562043478,0.01849032203087565
A_contraction,feedforward,food,3,30,0,[],completed,0.0,0.0,0.0
A_contraction,feedforward,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_contraction,feedforward,motor_energy_demand,3,30,0,[],completed,0.0006615980763192622,-0.0022338751725312902,0.003152176611653559
A_contraction,recurrent,food,3,30,0,[],completed,0.0,0.0,0.0
A_contraction,recurrent,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_contraction,recurrent,motor_energy_demand,3,30,0,[],completed,0.007701382382981005,0.005025315595579604,0.010607197047926467
A_contraction,hybrid,food,3,30,0,[],completed,0.0,0.0,0.0
A_contraction,hybrid,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
A_contraction,hybrid,motor_energy_demand,3,30,0,[],completed,0.02093943402080273,0.014013731109313426,0.030054443814565335
B_food,feedforward,food,3,30,0,[],completed,-0.1714380291641199,-0.3823023133089864,0.02689307624348491
B_food,feedforward,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
B_food,feedforward,motor_energy_demand,3,30,0,[],completed,0.008767021205174358,0.003697996033033486,0.014016580313364013
B_food,recurrent,food,3,30,0,[],completed,-0.08508195030697782,-0.2985399102669596,0.16155741826342934
B_food,recurrent,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
B_food,recurrent,motor_energy_demand,3,30,0,[],completed,0.019518188072492337,0.010747504815188581,0.025879623753629115
B_food,hybrid,food,3,30,0,[],completed,-0.19025690407831905,-0.3155336338439709,-0.06700199673301817
B_food,hybrid,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
B_food,hybrid,motor_energy_demand,3,30,0,[],completed,0.04493211040400711,0.0159010543503954,0.08255218935414428
B_danger,feedforward,food,3,30,0,[],completed,0.039155311544955156,-0.0317033219352865,0.15185696859967154
B_danger,feedforward,collision_substeps,3,30,0,[],completed,-5.4,-14.533333333333333,0.0
B_danger,feedforward,motor_energy_demand,3,30,0,[],completed,-0.023565249121933796,-0.02877990490091713,-0.018818034310987844
B_danger,recurrent,food,3,30,0,[],completed,0.10964551462420521,0.0016512344206049607,0.2786271709850249
B_danger,recurrent,collision_substeps,3,30,0,[],completed,-5.4,-14.433333333333334,0.0
B_danger,recurrent,motor_energy_demand,3,30,0,[],completed,-0.012079111920008089,-0.01959208613899614,-0.006331939231504984
B_danger,hybrid,food,3,30,0,[],completed,0.007383792516787356,-0.020339426916422442,0.044811717761095084
B_danger,hybrid,collision_substeps,3,30,0,[],completed,-5.4,-14.433333333333334,0.0
B_danger,hybrid,motor_energy_demand,3,30,0,[],completed,0.029126455769051023,0.01484080528884862,0.05140995516000468
C_occlusion,feedforward,food,3,30,0,[],completed,0.0,0.0,0.0
C_occlusion,feedforward,collision_substeps,3,30,0,[],completed,-268.2,-361.37166666666667,-176.35166666666674
C_occlusion,feedforward,motor_energy_demand,3,30,0,[],completed,-0.03721248778177428,-0.045780860122620705,-0.028548484372468846
C_occlusion,recurrent,food,3,30,0,[],completed,0.0,0.0,0.0
C_occlusion,recurrent,collision_substeps,3,30,0,[],completed,-268.2,-361.66833333333335,-174.92750000000004
C_occlusion,recurrent,motor_energy_demand,3,30,0,[],completed,-0.015957347067571168,-0.024816344274102207,-0.005910070653468926
C_occlusion,hybrid,food,3,30,0,[],completed,0.0,0.0,0.0
C_occlusion,hybrid,collision_substeps,3,30,0,[],completed,-267.2888888888889,-360.32166666666666,-167.803888888889
C_occlusion,hybrid,motor_energy_demand,3,30,0,[],completed,0.02857411563707409,0.009860353196962485,0.05049504968789593
C_relocation,feedforward,food,3,30,0,[],completed,0.050827029767404844,-0.04187413326346764,0.15062296993216567
C_relocation,feedforward,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
C_relocation,feedforward,motor_energy_demand,3,30,0,[],completed,0.010900687884671738,0.004410537585154446,0.01635849948960218
