environment_seed,allocation
290001,"[""recurrent-202"",""hybrid-202"",""hybrid-303"",""recurrent-101"",""feedforward-101"",""feedforward-202"",""hybrid-101"",""recurrent-303"",""feedforward-303"",""connectome""]"
290002,"[""connectome"",""recurrent-202"",""hybrid-202"",""hybrid-303"",""recurrent-101"",""feedforward-101"",""feedforward-202"",""hybrid-101"",""recurrent-303"",""feedforward-303""]"
290003,"[""feedforward-303"",""connectome"",""recurrent-202"",""hybrid-202"",""hybrid-303"",""recurrent-101"",""feedforward-101"",""feedforward-202"",""hybrid-101"",""recurrent-303""]"
290004,"[""recurrent-303"",""feedforward-303"",""connectome"",""recurrent-202"",""hybrid-202"",""hybrid-303"",""recurrent-101"",""feedforward-101"",""feedforward-202"",""hybrid-101""]"
290005,"[""hybrid-101"",""recurrent-303"",""feedforward-303"",""connectome"",""recurrent-202"",""hybrid-202"",""hybrid-303"",""recurrent-101"",""feedforward-101"",""feedforward-202""]"
290006,"[""feedforward-202"",""hybrid-101"",""recurrent-303"",""feedforward-303"",""connectome"",""recurrent-202"",""hybrid-202"",""hybrid-303"",""recurrent-101"",""feedforward-101""]"
290007,"[""feedforward-101"",""feedforward-202"",""hybrid-101"",""recurrent-303"",""feedforward-303"",""connectome"",""recurrent-202"",""hybrid-202"",""hybrid-303"",""recurrent-101""]"
290008,"[""recurrent-101"",""feedforward-101"",""feedforward-202"",""hybrid-101"",""recurrent-303"",""feedforward-303"",""connectome"",""recurrent-202"",""hybrid-202"",""hybrid-303""]"
290009,"[""hybrid-303"",""recurrent-101"",""feedforward-101"",""feedforward-202"",""hybrid-101"",""recurrent-303"",""feedforward-303"",""connectome"",""recurrent-202"",""hybrid-202""]"
290010,"[""hybrid-202"",""hybrid-303"",""recurrent-101"",""feedforward-101"",""feedforward-202"",""hybrid-101"",""recurrent-303"",""feedforward-303"",""connectome"",""recurrent-202""]"
290011,"[""hybrid-101"",""hybrid-202"",""connectome"",""hybrid-303"",""recurrent-202"",""recurrent-303"",""feedforward-101"",""feedforward-202"",""feedforward-303"",""recurrent-101""]"
290012,"[""recurrent-101"",""hybrid-101"",""hybrid-202"",""connectome"",""hybrid-303"",""recurrent-202"",""recurrent-303"",""feedforward-101"",""feedforward-202"",""feedforward-303""]"
290013,"[""feedforward-303"",""recurrent-101"",""hybrid-101"",""hybrid-202"",""connectome"",""hybrid-303"",""recurrent-202"",""recurrent-303"",""feedforward-101"",""feedforward-202""]"
