controller,condition,environment_units,completed,status_counts_completed,metrics_food,metrics_collision_substeps,metrics_motor_energy_demand,metrics_final_simulated_energy,metrics_escape_drive_integral,metrics_inference_mean_ms
connectome,clean,30,30,30,0.0941040458124425,0.0,0.022828397128007636,0.3742236257782127,1.3719795296695052,82.83002953928533
connectome,visual_noise,30,30,30,0.07705634630171791,0.0,0.024587626124079387,0.363940547026779,1.483957566295399,85.72896316853196
feedforward-101,clean,30,30,30,0.02977671813468138,0.0,0.005055240435871606,0.35983311863146905,0.08123309384100139,0.18726718062276226
feedforward-101,visual_noise,30,30,30,0.02956050233046214,0.0,0.005003362371801088,0.35977688879342995,0.07883687889575958,0.18933672415247804
feedforward-202,clean,30,30,30,0.03086911209424336,0.0,0.006139583878099297,0.35929497216902234,0.10961187024911245,0.1946177870656053
feedforward-202,visual_noise,30,30,30,0.030761760815978048,0.0,0.006113497601021392,0.35926738280696763,0.1085980485404531,0.19522534044355985
feedforward-303,clean,30,30,30,0.0,0.0,0.003289798459556575,0.34671020154044335,0.026783584230269,0.20535320493703088
feedforward-303,visual_noise,30,30,30,0.0,0.0,0.0032765381527791416,0.3467234618472208,0.025906620604296528,0.20461595198139546
hybrid-101,clean,30,30,30,0.003840373300015926,0.0,0.01625389997242888,0.33566628667757903,0.7672425006727378,0.3206061868824893
hybrid-101,visual_noise,30,30,30,0.003724419929087162,0.0,0.018272383712589737,0.3335898262519538,0.9019658594727518,0.32414434707930523
hybrid-202,clean,30,30,30,0.012374535177523889,0.0,0.01806206158945182,0.33812520599931,0.8107846277334418,0.3148232125289117
hybrid-202,visual_noise,30,30,30,0.010562318408861756,0.0,0.01935680837966253,0.3359243508247684,0.8975136717588951,0.3099021868418074
hybrid-303,clean,30,30,30,0.019915050690372783,0.0,0.026593517575740813,0.33336400776944547,1.366806073109309,0.3124506912427023
hybrid-303,visual_noise,30,30,30,0.019499640131990115,0.0,0.02675067808878422,0.33299914197721076,1.3779816477100053,0.3104698345867089
recurrent-101,clean,30,30,30,0.0031840674088646974,0.0,0.009441721618958438,0.3421503120854739,0.3976494511241713,0.23445015541640007
recurrent-101,visual_noise,30,30,30,0.003050707369421918,0.0,0.00946044244852724,0.3420649112361837,0.399107701520746,0.23071584806570575
recurrent-202,clean,30,30,30,0.011245156034827234,0.0,0.009025100637157758,0.3465974773802559,0.21310497172673545,0.2316988196689635
recurrent-202,visual_noise,30,30,30,0.0111605810970068,0.0,0.009017605569233497,0.3465626849792699,0.2127436993221442,0.24032800233302018
recurrent-303,clean,30,30,30,0.021728608474135398,0.0,0.007000181918640932,0.35386412231842684,0.13213420876363913,0.2510077743920395
recurrent-303,visual_noise,30,30,30,0.020012414820492267,0.0,0.006941998808570828,0.35306420860167526,0.1299826426350822,0.24102470794847855
